,loss,price_output_loss,volatility_output_loss,price_output_mae,volatility_output_mae,val_loss,val_price_output_loss,val_volatility_output_loss,val_price_output_mae,val_volatility_output_mae
0,0.325735479593277,0.27572789788246155,0.05000773444771767,0.4857536256313324,0.3051503300666809,0.5515648722648621,0.4922211170196533,0.059343744069337845,0.7962697744369507,0.32759958505630493
1,0.1565665602684021,0.15195751190185547,0.0046090357936918736,0.5019113421440125,0.13517531752586365,0.4911952316761017,0.4596172869205475,0.031577952206134796,0.7822690010070801,0.22591260075569153
2,0.1437545269727707,0.1414739191532135,0.0022805931512266397,0.47519952058792114,0.09270263463258743,0.4099051058292389,0.38867488503456116,0.021230166777968407,0.7212224006652832,0.18074487149715424
3,0.14006590843200684,0.13842153549194336,0.0016443498898297548,0.47481900453567505,0.07629408687353134,0.59229975938797,0.5785248875617981,0.013774900697171688,0.8881553411483765,0.1469762772321701
4,0.1365465670824051,0.1355414241552353,0.001005140715278685,0.46816733479499817,0.06579285115003586,0.6295214295387268,0.6183035373687744,0.011217891238629818,0.9153902530670166,0.12932299077510834
5,0.13407571613788605,0.1330050230026245,0.0010706965113058686,0.45568710565567017,0.05663726106286049,0.6412227153778076,0.6336803436279297,0.0075424425303936005,0.9244593381881714,0.10544462502002716
6,0.13362696766853333,0.13276413083076477,0.0008628236246295273,0.45168909430503845,0.048576559871435165,0.6011728644371033,0.5971194505691528,0.004053366836160421,0.8967176079750061,0.07753842324018478
7,0.13407540321350098,0.13348865509033203,0.0005867579602636397,0.4628022611141205,0.043243780732154846,0.6073899865150452,0.6038879156112671,0.00350213423371315,0.90179443359375,0.07122498750686646
8,0.13537631928920746,0.13482601940631866,0.0005503238644450903,0.4567864239215851,0.04103526100516319,0.7723543643951416,0.7698609828948975,0.002493385225534439,1.0096670389175415,0.05934465676546097
9,0.13415436446666718,0.1336674690246582,0.0004869257682003081,0.45509496331214905,0.03894668072462082,0.8194482326507568,0.8173907399177551,0.0020574452355504036,1.0391143560409546,0.053377360105514526
10,0.1335432529449463,0.13305075466632843,0.0004924776731058955,0.45572856068611145,0.03720918670296669,0.9153783321380615,0.9133708477020264,0.0020074814092367887,1.094246506690979,0.052242934703826904
11,0.1329861581325531,0.13250941038131714,0.0004767442005686462,0.46214425563812256,0.03674498572945595,0.9710392355918884,0.9691162705421448,0.001922932337038219,1.1242015361785889,0.05112060159444809
12,0.13389098644256592,0.13343389332294464,0.0004571051977109164,0.45510128140449524,0.035551223903894424,0.9852476716041565,0.9833328127861023,0.0019149641739204526,1.1346230506896973,0.051180798560380936
